File size: 276768 bytes
Tamanho do cabecalho: 44 bytes
ChunkID: RIFF9
ChunkSize: 276760
AudioFormat: 1
NumOfChan: 2
SamplesPerSec: 44100
bytesPerSec: 176400
bitsPerSample: 16
Numero de amostras: 138362

	-> Construindo Tabela de frequencia...
Validos: 13859
Amostra 65535, frequencia: 565
Amostra 0, frequencia: 541
Amostra 1, frequencia: 531
Amostra 2, frequencia: 529
Amostra 65534, frequencia: 501
Amostra 65533, frequencia: 491
Amostra 3, frequencia: 457
Amostra 65532, frequencia: 408
Amostra 65530, frequencia: 393
Amostra 65531, frequencia: 391
Amostra 4, frequencia: 390
Amostra 5, frequencia: 381
Amostra 6, frequencia: 342
Amostra 8, frequencia: 321
Amostra 65528, frequencia: 321
Amostra 65529, frequencia: 308
Amostra 65527, frequencia: 305
Amostra 7, frequencia: 298
Amostra 65522, frequencia: 290
Amostra 65526, frequencia: 279
Amostra 65523, frequencia: 267
Amostra 9, frequencia: 266
Amostra 10, frequencia: 265
Amostra 65525, frequencia: 258
Amostra 65524, frequencia: 250
Amostra 65521, frequencia: 243
Amostra 11, frequencia: 242
Amostra 65520, frequencia: 241
Amostra 17, frequencia: 237
Amostra 12, frequencia: 231
Amostra 65518, frequencia: 224
Amostra 19, frequencia: 223
Amostra 15, frequencia: 221
Amostra 16, frequencia: 218
Amostra 13, frequencia: 212
Amostra 65517, frequencia: 210
Amostra 65519, frequencia: 210
Amostra 14, frequencia: 208
Amostra 18, frequencia: 208
Amostra 65512, frequencia: 206
Amostra 65516, frequencia: 199
Amostra 65504, frequencia: 197
Amostra 65515, frequencia: 194
Amostra 65514, frequencia: 193
Amostra 65510, frequencia: 191
Amostra 65509, frequencia: 189
Amostra 65511, frequencia: 187
Amostra 20, frequencia: 187
Amostra 65488, frequencia: 186
Amostra 25, frequencia: 185
Amostra 23, frequencia: 182
Amostra 65487, frequencia: 181
Amostra 65497, frequencia: 180
Amostra 65500, frequencia: 179
Amostra 65513, frequencia: 178
Amostra 65508, frequencia: 177
Amostra 22, frequencia: 177
Amostra 65493, frequencia: 176
Amostra 65505, frequencia: 176
Amostra 65498, frequencia: 175
Amostra 65501, frequencia: 175
Amostra 24, frequencia: 174
Amostra 31, frequencia: 171
Amostra 65495, frequencia: 171
Amostra 65489, frequencia: 171
Amostra 65490, frequencia: 170
Amostra 65477, frequencia: 168
Amostra 65496, frequencia: 167
Amostra 65491, frequencia: 166
Amostra 26, frequencia: 165
Amostra 65502, frequencia: 164
Amostra 65506, frequencia: 164
Amostra 65494, frequencia: 164
Amostra 21, frequencia: 162
Amostra 65499, frequencia: 160
Amostra 65485, frequencia: 159
Amostra 65483, frequencia: 158
Amostra 28, frequencia: 158
Amostra 27, frequencia: 157
Amostra 65492, frequencia: 155
Amostra 30, frequencia: 155
Amostra 65482, frequencia: 154
Amostra 65480, frequencia: 154
Amostra 29, frequencia: 153
Amostra 65468, frequencia: 149
Amostra 38, frequencia: 149
Amostra 65479, frequencia: 149
Amostra 65484, frequencia: 148
Amostra 43, frequencia: 147
Amostra 32, frequencia: 147
Amostra 65469, frequencia: 147
Amostra 65503, frequencia: 146
Amostra 34, frequencia: 146
Amostra 65481, frequencia: 145
Amostra 65486, frequencia: 145
Amostra 65465, frequencia: 144
Amostra 42, frequencia: 144
Amostra 33, frequencia: 142
Amostra 49, frequencia: 141
Amostra 53, frequencia: 141
Amostra 65470, frequencia: 140
Amostra 65471, frequencia: 139
Amostra 35, frequencia: 139
Amostra 65478, frequencia: 138
Amostra 65507, frequencia: 138
Amostra 65463, frequencia: 136
Amostra 65461, frequencia: 135
Amostra 52, frequencia: 133
Amostra 65475, frequencia: 132
Amostra 50, frequencia: 132
Amostra 65476, frequencia: 130
Amostra 46, frequencia: 130
Amostra 60, frequencia: 130
Amostra 37, frequencia: 129
Amostra 65474, frequencia: 128
Amostra 54, frequencia: 127
Amostra 45, frequencia: 126
Amostra 65473, frequencia: 126
Amostra 65472, frequencia: 125
Amostra 41, frequencia: 124
Amostra 36, frequencia: 124
Amostra 56, frequencia: 124
Amostra 81, frequencia: 122
Amostra 47, frequencia: 122
Amostra 57, frequencia: 121
Amostra 39, frequencia: 121
Amostra 65456, frequencia: 120
Amostra 61, frequencia: 120
Amostra 51, frequencia: 120
Amostra 65455, frequencia: 120
Amostra 62, frequencia: 119
Amostra 40, frequencia: 118
Amostra 65462, frequencia: 118
Amostra 58, frequencia: 118
Amostra 65464, frequencia: 117
Amostra 65457, frequencia: 116
Amostra 63, frequencia: 115
Amostra 65453, frequencia: 112
Amostra 65460, frequencia: 111
Amostra 44, frequencia: 110
Amostra 65467, frequencia: 110
Amostra 55, frequencia: 109
Amostra 48, frequencia: 108
Amostra 65466, frequencia: 107
Amostra 66, frequencia: 107
Amostra 64, frequencia: 106
Amostra 65458, frequencia: 106
Amostra 59, frequencia: 105
Amostra 65459, frequencia: 105
Amostra 65445, frequencia: 105
Amostra 65449, frequencia: 104
Amostra 65452, frequencia: 104
Amostra 85, frequencia: 104
Amostra 65454, frequencia: 104
Amostra 65448, frequencia: 104
Amostra 67, frequencia: 103
Amostra 65451, frequencia: 103
Amostra 68, frequencia: 102
Amostra 65440, frequencia: 101
Amostra 65441, frequencia: 100
Amostra 65435, frequencia: 99
Amostra 65446, frequencia: 98
Amostra 78, frequencia: 97
Amostra 65447, frequencia: 96
Amostra 83, frequencia: 96
Amostra 65, frequencia: 95
Amostra 75, frequencia: 95
Amostra 65428, frequencia: 95
Amostra 65443, frequencia: 94
Amostra 65444, frequencia: 94
Amostra 65430, frequencia: 94
Amostra 70, frequencia: 94
Amostra 88, frequencia: 93
Amostra 65437, frequencia: 93
Amostra 82, frequencia: 92
Amostra 72, frequencia: 91
Amostra 71, frequencia: 90
Amostra 65450, frequencia: 89
Amostra 74, frequencia: 89
Amostra 65434, frequencia: 88
Amostra 84, frequencia: 86
Amostra 73, frequencia: 86
Amostra 65442, frequencia: 86
Amostra 65426, frequencia: 85
Amostra 89, frequencia: 85
Amostra 80, frequencia: 84
Amostra 65422, frequencia: 84
Amostra 65438, frequencia: 84
Amostra 77, frequencia: 82
Amostra 65436, frequencia: 82
Amostra 86, frequencia: 81
Amostra 76, frequencia: 80
Amostra 90, frequencia: 79
Amostra 65414, frequencia: 79
Amostra 65418, frequencia: 79
Amostra 107, frequencia: 78
Amostra 65427, frequencia: 78
Amostra 93, frequencia: 78
Amostra 99, frequencia: 77
Amostra 69, frequencia: 77
Amostra 133, frequencia: 77
Amostra 94, frequencia: 77
Amostra 98, frequencia: 77
Amostra 65439, frequencia: 77
Amostra 65432, frequencia: 76
Amostra 65433, frequencia: 76
Amostra 87, frequencia: 76
Amostra 65431, frequencia: 76
Amostra 79, frequencia: 75
Amostra 65424, frequencia: 75
Amostra 65419, frequencia: 75
Amostra 92, frequencia: 74
Amostra 91, frequencia: 73
Amostra 65429, frequencia: 73
Amostra 65394, frequencia: 72
Amostra 65417, frequencia: 72
Amostra 65412, frequencia: 71
Amostra 65421, frequencia: 71
Amostra 65410, frequencia: 70
Amostra 95, frequencia: 69
Amostra 65375, frequencia: 69
Amostra 65377, frequencia: 69
Amostra 65398, frequencia: 68
Amostra 119, frequencia: 68
Amostra 104, frequencia: 67
Amostra 101, frequencia: 67
Amostra 65371, frequencia: 67
Amostra 65420, frequencia: 66
Amostra 65405, frequencia: 66
Amostra 65413, frequencia: 66
Amostra 109, frequencia: 65
Amostra 65409, frequencia: 65
Amostra 65423, frequencia: 65
Amostra 115, frequencia: 65
Amostra 96, frequencia: 65
Amostra 65399, frequencia: 65
Amostra 65351, frequencia: 64
Amostra 65416, frequencia: 64
Amostra 117, frequencia: 64
Amostra 65385, frequencia: 63
Amostra 135, frequencia: 63
Amostra 65395, frequencia: 63
Amostra 65332, frequencia: 63
Amostra 110, frequencia: 63
Amostra 65380, frequencia: 62
Amostra 65425, frequencia: 62
Amostra 65383, frequencia: 62
Amostra 103, frequencia: 62
Amostra 100, frequencia: 61
Amostra 65400, frequencia: 61
Amostra 65401, frequencia: 61
Amostra 114, frequencia: 61
