File size: 276768 bytes
Tamanho do cabecalho: 44 bytes
ChunkID: RIFF9
ChunkSize: 276760
AudioFormat: 1
NumOfChan: 2
SamplesPerSec: 44100
bytesPerSec: 176400
bitsPerSample: 16
Tamanho dos dados: 276528
Numero de amostras: 138264
65534 x0
65529 x0
65314 x0
64694 x0
64614 x0
64943 x0
64772 x0
64956 x0
64876 x0
64935 x0
64921 x0
64922 x0
64934 x0
64913 x0
64928 x0
64896 x0
64917 x0
64880 x0
64897 x0
64868 x0
64891 x0
64853 x0
64866 x0
64839 x0
64850 x0
64824 x0
64835 x0
64813 x0
64816 x0
64798 x0
64808 x0
64785 x0
64801 x0
64780 x0
64788 x0
64763 x0
64772 x0
64757 x0
64765 x0
64745 x0
64749 x0
64726 x0
64740 x0
64720 x0
64739 x0
64719 x0
64725 x0
64710 x0
64717 x0
64698 x0
64711 x0
64703 x0
64700 x0
64693 x0
64695 x0
64687 x0
64692 x0
64675 x0
64688 x0
64673 x0
64681 x0
64667 x0
64663 x0
64659 x0
64540 x0
63633 x0
62972 x0
64821 x0
799 x0
278 x0
64597 x0
64239 x0
65415 x0
64006 x0
54764 x0
41689 x0
40379 x0
46860 x0
53124 x0
4168 x0
19488 x0
18256 x0
4524 x0
56061 x0
50847 x0
51979 x0
58329 x0
4688 x0
16906 x0
14476 x0
63722 x0
47050 x0
44483 x0
53728 x0
967 x0
12307 x0
17260 x0
9801 x0
61832 x0
52619 x0
51956 x0
57775 x0
64387 x0
2003 x0
2941 x0
3282 x0
3335 x0
1335 x0
63655 x0
61029 x0
60968 x0
63268 x0
608 x0
1606 x0
1054 x0
877 x0
2082 x0
2596 x0
947 x0
63778 x0
62601 x0
64176 x0
1873 x0
3974 x0
3079 x0
169 x0
63952 x0
65144 x0
2173 x0
3498 x0
2589 x0
733 x0
64976 x0
65440 x0
1315 x0
1908 x0
1157 x0
748 x0
1631 x0
3018 x0
3515 x0
2738 x0
1200 x0
442 x0
1218 x0
2410 x0
1764 x0
589 x0
1003 x0
2944 x0
4804 x0
5689 x0
4786 x0
2724 x0
925 x0
683 x0
1503 x0
2278 x0
3104 x0
4430 x0
5448 x0
5119 x0
3371 x0
1551 x0
1035 x0
1791 x0
3400 x0
4706 x0
4491 x0
2927 x0
2382 x0
3494 x0
5043 x0
5310 x0
4197 x0
2737 x0
1709 x0
1165 x0
920 x0
65409 x0
63731 x0
62967 x0
64069 x0
52 x0
709 x0
64987 x0
62591 x0
61401 x0
60624 x0
61161 x0
61669 x0
58750 x0
57325 x0
59488 x0
61845 x0
63148 x0
62863 x0
61459 x0
59466 x0
57557 x0
61372 x0
60 x0
61278 x0
55386 x0
57391 x0
277 x0
4462 x0
64005 x0
58029 x0
59152 x0
63809 x0
4305 x0
11065 x0
14326 x0
10410 x0
64770 x0
53640 x0
50001 x0
59137 x0
10930 x0
21195 x0
16850 x0
7854 x0
2277 x0
63911 x0
62608 x0
64948 x0
7572 x0
14245 x0
12375 x0
5490 x0
61303 x0
48712 x0
38858 x0
41403 x0
56611 x0
15174 x0
32732 x0
21792 x0
1405 x0
47656 x0
37485 x0
41043 x0
47595 x0
59821 x0
11479 x0
19284 x0
7657 x0
58943 x0
48964 x0
50552 x0
59471 x0
8575 x0
17736 x0
16713 x0
3668 x0
53720 x0
44423 x0
48691 x0
62352 x0
10087 x0
13941 x0
9255 x0
938 x0
60287 x0
58385 x0
60481 x0
63124 x0
64225 x0
64414 x0
65336 x0
